scoutId,problemFamily,job,artifact,sourcePosts,creatorN,radarSignals,decisionSignals,strictSignals,trackASignals,top100Signals,tigerSignals,independentEvidenceLayers,medianResponseRatio,publicProofPath,artifactPath,validationCheck,screeningTier,screeningStatus
SQ-9dab598524,PB9,J4,AR0,2,2,1,1,1,1,0,1,2,10.7903,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_A,exploratory_only_failed_reliability_gate
SQ-050a93fb9c,PB1,J7,AR0,2,2,1,0,0,0,0,1,2,1.7614,public_dataset_formula_or_standard,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_A,exploratory_only_failed_reliability_gate
SQ-3498d3a284,PB11,J1,AR0,2,2,1,1,1,1,1,0,2,189.9957,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_A,exploratory_only_failed_reliability_gate
SQ-e9f037f313,PB4,J1,AR4,2,2,1,1,1,1,1,0,2,11.1667,public_dataset_formula_or_standard,decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_A,exploratory_only_failed_reliability_gate
SQ-eaa1669556,PB2,J3,AR4,2,2,0,0,0,0,1,1,2,7.0388,public_dataset_formula_or_standard,decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_A,exploratory_only_failed_reliability_gate
SQ-9adc8a312a,PB12,J1,AR0,8,6,8,7,5,5,0,0,1,2.9615,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-5412666ded,PB12,J3,AR0,3,3,3,3,3,3,0,0,1,2,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-05c4fe95f8,PB12,J7,AR0,3,3,3,2,2,2,0,0,1,2.0455,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-1696d58e1c,PB4,J1,AR0,3,2,3,3,3,3,0,0,1,3.2222,public_dataset_formula_or_standard,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-42f0f1fefc,PB6,J7,AR0,2,2,2,1,1,1,0,0,1,2.1203,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-288d16b7c8,PB1,J3,AR0,2,2,2,1,0,0,0,0,1,2.0341,public_dataset_formula_or_standard,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-61e69937e1,PB6,J7,AR5,2,2,2,2,1,1,0,0,1,1.885,documented_case_or_research,worked_example,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-21865b671d,PB11,J4,AR0,2,2,2,2,1,1,0,0,1,2.314,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-32cb35b59f,PB6,J4,AR1,2,2,0,0,0,0,2,0,1,2.097,documented_case_or_research,interactive_tool,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-4b104df7bb,PB4,J3,AR0,2,1,2,2,2,2,0,0,1,3.6111,public_dataset_formula_or_standard,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-eeb9011d0f,PB11,J1,AR2,2,1,0,0,0,0,2,0,1,2.4057,documented_case_or_research,downloadable_workbook,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-ae994d0844,PB10,J4,AR1,2,1,0,0,0,0,2,0,1,14.9315,documented_case_or_research,interactive_tool,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-05bc59400f,PB3,J2,AR0,2,1,0,0,0,0,0,2,1,4.125,public_dataset_formula_or_standard,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-c842d20a62,PB1,J4,AR1,1,1,1,0,0,0,0,0,1,8.6226,public_dataset_formula_or_standard,interactive_tool,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-f230505bac,PB5,J1,AR4,1,1,1,0,0,0,0,0,1,1.8585,documented_case_or_research,decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-b193e0c28d,PB6,J2,AR1,1,1,1,0,0,0,0,0,1,1.7358,documented_case_or_research,interactive_tool,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-cb911176d4,PB6,J7,AR2,1,1,1,0,0,0,0,0,1,4.8143,documented_case_or_research,downloadable_workbook,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-88ed49ae89,PB4,J8,AR0,1,1,1,1,1,1,0,0,1,3.1379,public_dataset_formula_or_standard,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-b92a8e3556,PB8,J1,AR2,1,1,1,1,1,1,0,0,1,3.6207,public_dataset_formula_or_standard,downloadable_workbook,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-5ba32f6835,PB4,J4,AR2,1,1,1,1,1,1,0,0,1,5.931,public_dataset_formula_or_standard,downloadable_workbook,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-3518a54e7b,PB11,J3,AR0,1,1,1,1,0,0,0,0,1,3,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-40d02e7f35,PB12,J4,AR0,1,1,1,0,0,0,0,0,1,6.2222,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-2b41819e46,PB6,J8,AR5,1,1,1,1,1,1,0,0,1,2,documented_case_or_research,worked_example,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-3a6e4966db,PB6,J3,AR0,1,1,1,1,1,1,0,0,1,2,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-5b6868890a,PB8,J4,AR0,1,1,1,1,1,1,0,0,1,2.8947,public_dataset_formula_or_standard,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-2332cabcb8,PB8,J4,AR4,1,1,1,1,1,1,0,0,1,1.8772,public_dataset_formula_or_standard,decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-c985898c0f,PB11,J8,AR0,1,1,1,1,1,1,0,0,1,1.7368,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-715aa9ab39,PB11,J1,AR5,1,1,1,1,1,1,0,0,1,1.7368,documented_case_or_research,worked_example,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-778c2f291f,PB7,J1,AR0,1,1,1,1,1,1,0,0,1,3.547,public_dataset_formula_or_standard,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-577b186fc8,PB7,J3,AR0,1,1,1,1,1,1,0,0,1,5.2575,public_dataset_formula_or_standard,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-2a5d48d036,PB7,J1,AR3,1,1,1,1,1,1,0,0,1,1.8343,public_dataset_formula_or_standard,copyable_operating_asset,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-621d33170e,PB6,J8,AR0,1,1,1,1,1,1,0,0,1,4.2222,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-6b9943135a,PB5,J1,AR0,1,1,1,0,0,0,0,0,1,2.069,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-1269462093,PB1,J1,AR4,1,1,1,1,0,0,0,0,1,1.7727,public_dataset_formula_or_standard,decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-7be0bc2e68,PB5,J4,AR4,1,1,1,1,0,0,0,0,1,11.9545,documented_case_or_research,decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-2240527e84,PB10,J7,AR0,1,1,1,1,0,0,0,0,1,2.5217,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-064f4e644f,PB11,J3,AR3,1,1,1,1,1,1,0,0,1,2.3158,documented_case_or_research,copyable_operating_asset,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-e92bde70b7,PB8,J3,AR0,1,1,1,1,1,1,0,0,1,2,public_dataset_formula_or_standard,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-ae3ed336cf,PB8,J3,AR4,1,1,1,1,1,1,0,0,1,1.5789,public_dataset_formula_or_standard,decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-3f93bb9ed5,PB10,J4,AR2,1,1,0,0,0,0,1,0,1,1.8838,documented_case_or_research,downloadable_workbook,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-cfb26a91a8,PB9,J3,AR2,1,1,0,0,0,0,1,0,1,1.6397,documented_case_or_research,downloadable_workbook,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-42baf4f133,PB10,J4,AR3,1,1,0,0,0,0,1,0,1,1.6064,documented_case_or_research,copyable_operating_asset,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-67be40488e,PB10,J3,AR4,1,1,0,0,0,0,1,0,1,2.0141,documented_case_or_research,decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-0a1e6ae752,PB1,J4,AR3,1,1,0,0,0,0,1,0,1,17.8451,public_dataset_formula_or_standard,copyable_operating_asset,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-3e8f0c8da7,PB10,J3,AR3,1,1,0,0,0,0,1,0,1,2.1631,documented_case_or_research,copyable_operating_asset,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-a6e4a40a17,PB10,J3,AR0,1,1,0,0,0,0,1,0,1,1.979,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-a22e042975,PB1,J1,AR0,1,1,0,0,0,0,1,0,1,3.9157,public_dataset_formula_or_standard,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-ca642bcf60,PB7,J4,AR4,1,1,0,0,0,0,1,0,1,12.7755,public_dataset_formula_or_standard,decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-161895a36c,PB3,J2,AR4,1,1,0,0,0,0,1,0,1,1.7755,public_dataset_formula_or_standard,decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-e32a9f7d2f,PB2,J1,AR0,1,1,0,0,0,0,1,0,1,12.0167,public_dataset_formula_or_standard,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-2dfd2a3fe5,PB6,J6,AR1,1,1,0,0,0,0,1,0,1,9.725,documented_case_or_research,interactive_tool,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-a6cb297b26,PB10,J1,AR4,1,1,0,0,0,0,0,1,1,5,documented_case_or_research,decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-f768adaf6f,PB3,J4,AR4,1,1,0,0,0,0,0,1,1,55.25,public_dataset_formula_or_standard,decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-1f62630a4d,PB12,J1,AR4,1,1,0,0,0,0,0,1,1,2.25,documented_case_or_research,decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-3949caefe0,PB10,J4,AR4,1,1,0,0,0,0,0,1,1,6,documented_case_or_research,decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-761f17e42f,PB6,J7,AR4,1,1,0,0,0,0,0,1,1,1.5,documented_case_or_research,decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-f808133c2f,PB11,J2,AR0,1,1,0,0,0,0,0,1,1,4,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-e93695409c,PB7,J2,AR4,1,1,0,0,0,0,0,1,1,2.125,public_dataset_formula_or_standard,decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-c1d2ae9b1b,PB2,J2,AR4,1,1,0,0,0,0,0,1,1,10,public_dataset_formula_or_standard,decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-422b13f08e,PB11,J7,AR4,1,1,0,0,0,0,0,1,1,166.5,documented_case_or_research,decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
SQ-271096dce9,PB6,J2,AR3,1,1,0,0,0,0,0,1,1,1.5,documented_case_or_research,copyable_operating_asset,worked_example_plus_reconciliation_or_failure_condition,screen_B,exploratory_only_failed_reliability_gate
