canonicalPostId,canonicalUrl,creatorId,creator,creatorProfileUrl,cohort,sizeCell,followerCount,publishedAt,publicInteractions,radarPanel,decisionPanel,strictPanel,automatedFeatureVersion,hook,job,proof,artifact,contentClass,problemFamily,cta,nativeFormat,usesNumber,usesQuestion,operationalInputs,operationalSteps,operationalOutput,operationalValidation,ddNews,ddPromotion,ddPersonalAuthority,ddCommentGate,ddEvergreen,captionChars,captionWords,lineCount,paragraphCount,bulletLineCount,questionCount,firstLineChars,firstLineHasQuestion,firstLineHasNumber,urlPresent,numericExpressionPresent,sourceTermPresent,artifactTermPresent,endingQuestion,creatorMedianInteractions,responseRatio,logResponseLift,creatorPercentile,heuristicSignalFlag,strongestPanel
LI-7481376138490015744,https://www.linkedin.com/posts/knut-alicke_supplychain-music-operationsresearch-activity-7481376138490015744-J-TG,PLN-E1,Knut Alicke,https://www.linkedin.com/in/knut-alicke,planning_logistics,growing_5k_20k,17856,2026-07-10T15:57:48.663Z,67,true,false,false,aofa-2026-07-28-v1,H9,J1,P0,AR0,K3,PB8,C2,F2_static_image,true,true,false,false,false,false,false,false,false,false,true,717,93,7,4,0,1,117,true,false,false,true,false,false,false,105,0.6415094339622641,-0.44393138893595996,0.2692307692307692,false,radar
LI-7482703505925939200,https://www.linkedin.com/posts/knut-alicke_supplychain-manufacturing-resilience-activity-7482703505925939200-OjCg,PLN-E1,Knut Alicke,https://www.linkedin.com/in/knut-alicke,planning_logistics,growing_5k_20k,17856,2026-07-14T07:52:17.721Z,32,true,false,false,aofa-2026-07-28-v1,H9,J1,P2,AR4,K2,PB6,C2,F2_static_image,true,false,false,false,false,false,false,false,false,false,true,2065,203,22,8,0,0,228,false,false,false,true,true,false,false,105,0.3113207547169811,-1.1669315326455867,0.038461538461538464,false,radar
LI-7462625377295704064,https://www.linkedin.com/posts/loracecere_industry-solutions-should-drive-value-networks-activity-7462625377295704064-LaUe,PLN-X1,Lora Cecere,https://www.linkedin.com/in/loracecere,planning_logistics,established_20k_plus,349564,2026-05-19T22:08:58.822Z,97,true,false,false,aofa-2026-07-28-v1,H1,J7,P0,AR0,K3,PB5,C0,F6_link_article,true,false,false,false,false,false,true,false,false,false,false,1034,166,9,5,0,0,328,false,true,true,true,false,false,false,69,1.4,0.33647223662121295,0.8214285714285714,false,radar
LI-7464359058666524674,https://www.linkedin.com/posts/loracecere_powerpoint-presentation-activity-7464359058666524674-MB6r,PLN-X1,Lora Cecere,https://www.linkedin.com/in/loracecere,planning_logistics,established_20k_plus,349564,2026-05-24T16:58:00.671Z,74,true,false,false,aofa-2026-07-28-v1,H3,J1,P0,AR0,K3,PB6,C7,F6_link_article,true,false,false,false,false,false,false,false,false,false,true,1090,162,13,7,0,0,101,false,false,true,true,false,false,false,69,1.0714285714285714,0.06899287148695077,0.5357142857142857,false,radar
LI-7464665881563009024,https://www.linkedin.com/posts/loracecere_i-am-excited-to-lead-an-executive-workshop-activity-7464665881563009024-vkAw,PLN-X1,Lora Cecere,https://www.linkedin.com/in/loracecere,planning_logistics,established_20k_plus,349564,2026-05-25T13:17:12.950Z,105,true,false,false,aofa-2026-07-28-v1,H1,J7,P4,AR0,K1,PB6,C0,F2_static_image,true,true,false,true,true,false,true,false,false,false,false,2191,357,13,7,0,2,177,false,true,true,true,false,false,false,69,1.5142857142857142,0.41494385206270756,0.8928571428571429,true,radar
LI-7465522069384892416,https://www.linkedin.com/posts/loracecere_supply-chain-health-check-the-power-of-an-activity-7465522069384892416-y195,PLN-X1,Lora Cecere,https://www.linkedin.com/in/loracecere,planning_logistics,established_20k_plus,349564,2026-05-27T21:59:24.034Z,75,true,false,false,aofa-2026-07-28-v1,H4,J1,P2,AR0,K5,PB12,C6,F6_link_article,true,true,true,false,false,false,false,false,false,false,true,1024,162,9,5,0,2,423,false,true,true,true,true,false,false,69,1.0857142857142856,0.0822380982369717,0.6071428571428571,false,radar
LI-7469415927730622464,https://www.linkedin.com/posts/loracecere_can-we-side-step-the-ai-spin-cycle-activity-7469415927730622464-2r9_,PLN-X1,Lora Cecere,https://www.linkedin.com/in/loracecere,planning_logistics,established_20k_plus,349564,2026-06-07T15:52:12.208Z,77,true,false,false,aofa-2026-07-28-v1,H9,J1,P0,AR0,K3,PB6,C7,F6_link_article,false,false,false,false,false,false,false,false,false,false,true,274,47,6,3,0,0,220,false,true,true,false,false,false,false,69,1.1142857142857143,0.10821358464023234,0.75,false,radar
LI-7470168105558634496,https://www.linkedin.com/posts/loracecere_case-study-a-scrappy-demand-management-approach-activity-7470168105558634496-Mqw5,PLN-X1,Lora Cecere,https://www.linkedin.com/in/loracecere,planning_logistics,established_20k_plus,349564,2026-06-09T17:41:05.377Z,38,true,false,false,aofa-2026-07-28-v1,H9,J1,P2,AR4,K3,PB1,C0,F6_link_article,false,false,false,false,false,false,false,false,false,false,true,753,116,4,2,0,0,239,false,false,true,false,true,false,false,69,0.5571428571428572,-0.5849335959197131,0.07142857142857142,false,radar
LI-7470848008767827968,https://www.linkedin.com/posts/loracecere_is-your-supply-chain-ai-ready-activity-7470848008767827968-AS0X,PLN-X1,Lora Cecere,https://www.linkedin.com/in/loracecere,planning_logistics,established_20k_plus,349564,2026-06-11T14:42:46.934Z,51,true,false,false,aofa-2026-07-28-v1,H9,J2,P6,AR4,K3,PB6,C0,F6_link_article,true,false,false,false,false,false,false,false,false,false,true,417,72,5,3,0,0,272,false,true,true,true,false,false,false,69,0.7428571428571429,-0.2972515234679318,0.2857142857142857,false,radar
LI-7470906690805096448,https://www.linkedin.com/posts/loracecere_loving-getting-ready-for-this-presentation-activity-7470906690805096448-RswS,PLN-X1,Lora Cecere,https://www.linkedin.com/in/loracecere,planning_logistics,established_20k_plus,349564,2026-06-11T18:35:57.822Z,58,true,false,false,aofa-2026-07-28-v1,H9,J1,P0,AR0,K8,PB12,C2,F2_static_image,false,true,false,false,false,false,false,true,false,false,false,217,34,3,2,0,1,151,true,false,true,false,false,false,false,69,0.8428571428571429,-0.17095779814363965,0.39285714285714285,false,radar
LI-7472377369958187008,https://www.linkedin.com/posts/loracecere_are-you-a-supply-chain-nowhere-man-activity-7472377369958187008-EK2M,PLN-X1,Lora Cecere,https://www.linkedin.com/in/loracecere,planning_logistics,established_20k_plus,349564,2026-06-15T19:59:55.056Z,38,true,false,false,aofa-2026-07-28-v1,H9,J1,P0,AR0,K3,PB12,C0,F6_link_article,false,false,false,false,false,false,false,true,false,false,false,103,17,1,1,0,0,103,false,false,false,false,false,false,false,69,0.5571428571428572,-0.5849335959197131,0.07142857142857142,false,radar
LI-7475196927979094016,https://www.linkedin.com/posts/loracecere_grateful-activity-7475196927979094016-VuRz,PLN-X1,Lora Cecere,https://www.linkedin.com/in/loracecere,planning_logistics,established_20k_plus,349564,2026-06-23T14:43:50.073Z,336,true,false,false,aofa-2026-07-28-v1,H7,J7,P2,AR2,K5,PB6,C0,F6_link_article,true,false,false,true,false,false,true,true,false,false,false,1291,208,13,7,0,0,184,false,true,true,true,true,false,false,69,4.814285714285714,1.5715876883030022,0.9642857142857143,true,radar
LI-7475355586247946240,https://www.linkedin.com/posts/loracecere_supply-chains-to-admire-activity-7475355586247946240-xfUB,PLN-X1,Lora Cecere,https://www.linkedin.com/in/loracecere,planning_logistics,established_20k_plus,349564,2026-06-24T01:14:17.152Z,64,true,false,false,aofa-2026-07-28-v1,H9,J2,P4,AR0,K2,PB10,C0,F6_link_article,false,false,false,false,false,false,false,false,false,false,true,654,104,9,4,0,0,224,false,false,true,false,false,false,false,69,0.9285714285714286,-0.07410797215372256,0.4642857142857143,false,radar
LI-7475356284490252289,https://www.linkedin.com/posts/loracecere_supply-chain-benchmarking-should-not-be-hard-activity-7475356284490252289-xb4j,PLN-X1,Lora Cecere,https://www.linkedin.com/in/loracecere,planning_logistics,established_20k_plus,349564,2026-06-24T01:17:03.626Z,76,true,false,false,aofa-2026-07-28-v1,H7,J7,P2,AR4,K3,PB6,C0,F1_text_only,false,false,false,false,false,true,true,false,false,false,false,276,46,3,2,0,0,264,false,false,false,false,true,false,false,69,1.1,0.09531017980432477,0.6785714285714286,false,radar
LI-7481037603287269376,https://www.linkedin.com/posts/loracecere_do-you-need-a-supply-chain-coach-activity-7481037603287269376-fyIk,PLN-X1,Lora Cecere,https://www.linkedin.com/in/loracecere,planning_logistics,established_20k_plus,349564,2026-07-09T17:32:35.581Z,51,true,false,false,aofa-2026-07-28-v1,H9,J1,P0,AR0,K3,PB10,C7,F6_link_article,false,false,false,false,false,false,false,false,false,false,true,457,69,7,4,0,0,47,false,false,true,false,false,false,false,69,0.7428571428571429,-0.2972515234679318,0.2857142857142857,false,radar
LI-7481366157011329025,https://www.linkedin.com/posts/loracecere_join-me-in-a-conversation-on-the-meaning-activity-7481366157011329025-r-Tk,PLN-X1,Lora Cecere,https://www.linkedin.com/in/loracecere,planning_logistics,established_20k_plus,349564,2026-07-10T15:18:08.893Z,41,true,false,false,aofa-2026-07-28-v1,H9,J1,P4,AR0,K3,PB12,C0,F2_static_image,true,false,false,false,false,false,false,false,false,false,true,159,28,1,1,0,0,159,false,true,false,true,false,false,false,69,0.6,-0.5108256237659909,0.17857142857142858,false,radar
LI-7470761283743715329,https://www.linkedin.com/posts/danielstanton_alwaysbelearning-supplychain-cscmp-activity-7470761283743715329-ZOyp,PLN-X2,Daniel Stanton,https://www.linkedin.com/in/danielstanton,planning_logistics,established_20k_plus,186387,2026-06-11T08:58:10.077Z,79,true,true,false,aofa-2026-07-28-v1,H9,J1,P0,AR0,K3,PB12,C0,F2_static_image,false,false,false,false,false,false,false,false,false,false,true,224,31,7,4,0,0,56,false,false,false,false,false,false,false,82,0.963855421686747,-0.03681397312271706,0.39473684210526316,false,decision
LI-7471118088403533827,https://www.linkedin.com/posts/danielstanton_alwaysbelearning-cscmp-ddmrp-activity-7471118088403533827-AplB,PLN-X2,Daniel Stanton,https://www.linkedin.com/in/danielstanton,planning_logistics,established_20k_plus,186387,2026-06-12T08:35:58.937Z,76,true,true,false,aofa-2026-07-28-v1,H9,J1,P0,AR0,K3,PB12,C0,F2_static_image,false,false,false,false,false,false,false,false,false,false,true,155,22,5,3,0,0,101,false,false,false,false,false,false,false,82,0.927710843373494,-0.07503518594291414,0.2894736842105263,false,decision
LI-7471214320807477248,https://www.linkedin.com/posts/danielstanton_supplychain-zlc-mit-activity-7471214320807477248-_pNu,PLN-X2,Daniel Stanton,https://www.linkedin.com/in/danielstanton,planning_logistics,established_20k_plus,186387,2026-06-12T14:58:22.530Z,80,true,true,false,aofa-2026-07-28-v1,H9,J1,P0,AR0,K3,PB3,C0,F2_static_image,true,false,false,false,false,false,false,false,false,false,true,267,40,7,4,0,0,99,false,true,false,true,false,false,false,82,0.9759036144578314,-0.024391453124159135,0.4473684210526316,false,decision
LI-7471227349410299906,https://www.linkedin.com/posts/danielstanton_alwaysbelearning-supplychain-zlc-activity-7471227349410299906-bsxD,PLN-X2,Daniel Stanton,https://www.linkedin.com/in/danielstanton,planning_logistics,established_20k_plus,186387,2026-06-12T15:50:08.791Z,138,true,true,false,aofa-2026-07-28-v1,H3,J1,P0,AR0,K3,PB3,C0,F2_static_image,false,false,false,false,false,false,false,false,false,false,true,181,24,5,3,0,0,123,false,false,false,false,false,false,false,82,1.6746987951807228,0.5156333253340932,0.9210526315789473,true,decision
LI-7472453185832583168,https://www.linkedin.com/posts/danielstanton_the-surprising-way-organizations-are-beginning-activity-7472453185832583168-QzO0,PLN-X2,Daniel Stanton,https://www.linkedin.com/in/danielstanton,planning_logistics,established_20k_plus,186387,2026-06-16T01:01:10.969Z,24,true,true,false,aofa-2026-07-28-v1,H3,J1,P0,AR0,K3,PB12,C0,F6_link_article,false,false,false,false,false,false,false,false,false,false,true,370,53,9,5,0,0,83,false,false,true,false,false,false,false,82,0.30120481927710846,-1.1999647829283977,0.02631578947368421,false,decision
LI-7472636457673895938,https://www.linkedin.com/posts/danielstanton_alwaysbelearning-supplychain-cscmp-activity-7472636457673895938-AVxJ,PLN-X2,Daniel Stanton,https://www.linkedin.com/in/danielstanton,planning_logistics,established_20k_plus,186387,2026-06-16T13:09:26.381Z,82,true,true,false,aofa-2026-07-28-v1,H9,J1,P2,AR0,K5,PB3,C0,F2_static_image,true,false,false,false,false,false,false,false,false,false,true,192,28,5,3,0,0,131,false,true,false,true,true,false,false,82,1,0,0.5,false,decision
LI-7473011610786336790,https://www.linkedin.com/posts/danielstanton_supplychain-cscmp-alwaysbelearning-activity-7473011610786336790-5rrw,PLN-X2,Daniel Stanton,https://www.linkedin.com/in/danielstanton,planning_logistics,established_20k_plus,186387,2026-06-17T14:00:09.853Z,117,true,true,false,aofa-2026-07-28-v1,H9,J7,P2,AR0,K4,PB3,C6,F6_link_article,true,true,false,true,false,false,false,false,false,false,true,1454,213,21,8,0,1,54,false,false,false,true,true,false,false,82,1.4216867469879517,0.35184401666906684,0.7631578947368421,false,decision
LI-7475548381407432704,https://www.linkedin.com/posts/danielstanton_alwaysbelearning-supplychain-supplychain5abr0-activity-7475548381407432704-WFS4,PLN-X2,Daniel Stanton,https://www.linkedin.com/in/danielstanton,planning_logistics,established_20k_plus,186387,2026-06-24T14:00:23.100Z,120,true,true,false,aofa-2026-07-28-v1,H9,J7,P0,AR0,K5,PB6,C0,F6_link_article,true,false,false,false,false,false,false,false,false,false,true,1537,227,22,8,0,0,54,false,false,false,true,false,false,false,82,1.4578313253012047,0.3769499378001431,0.8157894736842105,false,decision
LI-7475869700254683136,https://www.linkedin.com/posts/danielstanton_alwaysbelearning-supplychain-mitctl-activity-7475869700254683136-Isob,PLN-X2,Daniel Stanton,https://www.linkedin.com/in/danielstanton,planning_logistics,established_20k_plus,186387,2026-06-25T11:17:11.483Z,108,true,true,false,aofa-2026-07-28-v1,H9,J1,P4,AR0,K3,PB12,C0,F2_static_image,true,false,false,false,false,false,false,false,false,false,true,432,62,11,6,0,0,88,false,true,false,true,false,false,false,82,1.3132530120481927,0.2725072744325452,0.6052631578947368,false,decision
LI-7476550653771722752,https://www.linkedin.com/posts/danielstanton_alwaysbelearning-cranfieldgrad-activity-7476550653771722752-t0bd,PLN-X2,Daniel Stanton,https://www.linkedin.com/in/danielstanton,planning_logistics,established_20k_plus,186387,2026-06-27T08:23:03.453Z,905,true,true,false,aofa-2026-07-28-v1,H9,J1,P0,AR0,K3,PB10,C7,F3_multi_image,true,false,false,false,false,false,false,false,false,false,true,1148,199,25,10,7,0,36,false,false,false,true,false,false,false,82,10.91566265060241,2.3901986982463814,0.9736842105263158,true,decision
LI-7478085025335447553,https://www.linkedin.com/posts/danielstanton_alwaysbelearning-supplychain-digitaltransformation-activity-7478085025335447553-0ZXe,PLN-X2,Daniel Stanton,https://www.linkedin.com/in/danielstanton,planning_logistics,established_20k_plus,186387,2026-07-01T14:00:06.141Z,112,true,true,false,aofa-2026-07-28-v1,H7,J4,P4,AR0,K5,PB9,C0,F6_link_article,true,false,false,false,false,false,true,false,false,false,false,1593,221,20,8,0,0,54,false,false,false,true,false,false,false,82,1.3614457831325302,0.30854721091574255,0.7105263157894737,false,decision
LI-7478428044173422592,https://www.linkedin.com/posts/danielstanton_alwaysbelearning-supplychain-ai-activity-7478428044173422592-EplG,PLN-X2,Daniel Stanton,https://www.linkedin.com/in/danielstanton,planning_logistics,established_20k_plus,186387,2026-07-02T12:43:08.205Z,129,true,true,false,aofa-2026-07-28-v1,H9,J4,P0,AR0,K3,PB6,C0,F5_video,true,false,true,true,true,true,false,false,false,false,true,1287,200,21,11,2,0,121,false,false,false,true,false,false,false,82,1.5662650602409638,0.44869384265898393,0.868421052631579,true,decision
LI-7479180869262397440,https://www.linkedin.com/posts/danielstanton_alwaysbelearning-supplychain-supplychain5abr0-activity-7479180869262397440-F6db,PLN-X2,Daniel Stanton,https://www.linkedin.com/in/danielstanton,planning_logistics,established_20k_plus,186387,2026-07-04T14:34:35.693Z,55,true,true,false,aofa-2026-07-28-v1,H7,J4,P4,AR0,K2,PB6,C6,F2_static_image,true,true,false,false,true,false,true,false,false,false,false,2187,336,30,13,0,1,164,false,false,false,true,false,false,false,82,0.6746987951807228,-0.3934889170614486,0.07894736842105263,false,decision
LI-7479413005328277504,https://www.linkedin.com/posts/danielstanton_alwaysbelearning-activity-7479413005328277504-0GQF,PLN-X2,Daniel Stanton,https://www.linkedin.com/in/danielstanton,planning_logistics,established_20k_plus,186387,2026-07-05T05:57:01.244Z,56,true,true,false,aofa-2026-07-28-v1,H9,J1,P0,AR0,K3,PB12,C0,F2_static_image,true,false,false,false,false,false,false,false,false,false,true,164,25,7,4,0,0,53,false,true,false,true,false,false,false,82,0.6867469879518072,-0.375789339962048,0.13157894736842105,false,decision
LI-7480624242120884225,https://www.linkedin.com/posts/danielstanton_alwaysbelearning-supplychain-sustainability-activity-7480624242120884225-VjgA,PLN-X2,Daniel Stanton,https://www.linkedin.com/in/danielstanton,planning_logistics,established_20k_plus,186387,2026-07-08T14:10:02.599Z,100,true,true,false,aofa-2026-07-28-v1,H2,J4,P3,AR0,K5,PB2,C6,F6_link_article,true,true,true,true,true,false,true,false,false,false,false,1708,254,22,9,0,3,55,false,false,false,true,false,false,false,82,1.216867469879518,0.19627990904466142,0.5526315789473685,false,decision
LI-7480984205510971392,https://www.linkedin.com/posts/danielstanton_alwaysbelearning-supplychain-projectmanagement-activity-7480984205510971392-m88y,PLN-X2,Daniel Stanton,https://www.linkedin.com/in/danielstanton,planning_logistics,established_20k_plus,186387,2026-07-09T14:00:24.559Z,70,true,true,false,aofa-2026-07-28-v1,H9,J4,P0,AR0,K7,PB8,C0,F2_static_image,false,false,false,false,false,false,false,false,false,false,true,1446,213,13,7,0,0,145,false,false,false,false,false,false,false,82,0.8554216867469879,-0.1561607307552828,0.23684210526315788,false,decision
LI-7481379531174387712,https://www.linkedin.com/posts/danielstanton_alwaysbelearning-supplychain-activity-7481379531174387712-luW3,PLN-X2,Daniel Stanton,https://www.linkedin.com/in/danielstanton,planning_logistics,established_20k_plus,186387,2026-07-10T16:11:17.542Z,111,true,true,false,aofa-2026-07-28-v1,H8,J1,P0,AR0,K3,PB4,C0,F2_static_image,false,false,false,true,false,false,false,false,false,false,true,668,110,9,5,0,0,174,false,false,false,false,false,false,false,82,1.3493975903614457,0.2996582634984959,0.6578947368421053,false,decision
LI-7482391911878774785,https://www.linkedin.com/posts/danielstanton_alwaysbelearning-projectmanagement-activity-7482391911878774785-fvAx,PLN-X2,Daniel Stanton,https://www.linkedin.com/in/danielstanton,planning_logistics,established_20k_plus,186387,2026-07-13T11:14:07.911Z,77,true,true,false,aofa-2026-07-28-v1,H2,J4,P4,AR0,K7,PB10,C7,F2_static_image,true,true,false,false,false,false,false,false,false,false,true,1221,202,17,9,0,2,74,false,false,false,true,false,false,false,82,0.9397590361445783,-0.06213178110700657,0.34210526315789475,false,decision
LI-7482395965664993281,https://www.linkedin.com/posts/danielstanton_alwaysbelearning-supplychain-sustainability-activity-7482395965664993281-GIsV,PLN-X2,Daniel Stanton,https://www.linkedin.com/in/danielstanton,planning_logistics,established_20k_plus,186387,2026-07-13T11:30:14.409Z,61,true,true,false,aofa-2026-07-28-v1,H2,J4,P2,AR0,K4,PB5,C6,F2_static_image,true,true,false,false,false,true,false,false,false,false,true,983,154,17,9,0,1,163,false,true,false,true,true,false,false,82,0.7469879518072289,-0.2917062227515066,0.18421052631578946,false,decision
LI-7461073352993153024,https://www.linkedin.com/posts/sarahbarneshumphrey_supplychain-logistics-ai-activity-7461073352993153024-YLPP,PLN-X3,Sarah Barnes-Humphrey,https://www.linkedin.com/in/sarahbarneshumphrey,planning_logistics,established_20k_plus,56040,2026-05-15T15:21:47.393Z,41,true,true,true,aofa-2026-07-28-v1,H2,J3,P0,AR0,K2,PB6,C2,F5_video,true,false,false,false,true,false,false,false,false,false,true,884,134,20,8,0,0,56,false,false,false,true,false,false,false,58,0.711864406779661,-0.3398678256223513,0.2916666666666667,false,strict
LI-7465466286412582912,https://www.linkedin.com/posts/sarahbarneshumphrey_letstalksupplychain-thoughtsandcoffee-supplychain-activity-7465466286412582912-NeQq,PLN-X3,Sarah Barnes-Humphrey,https://www.linkedin.com/in/sarahbarneshumphrey,planning_logistics,established_20k_plus,56040,2026-05-27T18:17:44.337Z,63,true,true,true,aofa-2026-07-28-v1,H9,J1,P0,AR0,K8,PB6,C2,F5_video,true,false,false,false,false,false,false,false,false,false,true,972,143,24,12,0,0,35,false,false,false,true,false,false,false,58,1.0847457627118644,0.08134563945395179,0.6041666666666666,false,strict
