canonicalPostId,canonicalUrl,creatorId,creator,creatorProfileUrl,cohort,sizeCell,followerCount,publishedAt,postAgeDays,reactionCount,commentCount,repostCount,publicInteractions,automatedFeatureVersion,hook,job,proof,artifact,contentClass,problemFamily,cta,nativeFormat,usesNumber,usesQuestion,operationalInputs,operationalSteps,operationalOutput,operationalValidation,ddNews,ddPromotion,ddPersonalAuthority,ddCommentGate,ddEvergreen,captionChars,captionWords,lineCount,paragraphCount,bulletLineCount,questionCount,firstLineChars,firstLineHasQuestion,firstLineHasNumber,urlPresent,numericExpressionPresent,sourceTermPresent,artifactTermPresent,endingQuestion,creatorMedianInteractions,responseRatio,logResponseLift,creatorPercentile
LI-7437542694534660096,https://www.linkedin.com/posts/shettys-desk_6-links-1-product-if-any-single-one-fails-activity-7437542694534660096-CFyv,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-03-11T16:59:21.238Z,139,12,0,0,12,aofa-2026-07-28-v1,H9,J1,P4,AR0,K1,PB3,C6,F2_static_image,true,true,false,true,false,true,false,false,false,false,true,1346,236,21,11,4,3,88,false,true,false,true,true,false,false,7,1.625,0.485507815781701,0.7155172413793104
LI-7438223426168782848,https://www.linkedin.com/posts/shettys-desk_most-supply-chain-leaders-tracking-hormuz-activity-7438223426168782848-i8ij,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-03-13T14:04:20.307Z,137,9,0,2,11,aofa-2026-07-28-v1,H1,J3,P6,AR0,K3,PB3,C6,F2_static_image,true,true,false,false,true,true,false,false,false,false,true,1577,246,19,10,4,1,66,false,false,false,true,true,false,false,7,1.5,0.4054651081081646,0.6724137931034483
LI-7439340292522119169,https://www.linkedin.com/posts/shettys-desk_this-is-what-took-the-us-from-their-shores-activity-7439340292522119169-octz,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-03-16T16:02:21.996Z,134,4,2,0,6,aofa-2026-07-28-v1,H9,J1,P0,AR0,K3,PB3,C6,F2_static_image,true,true,false,false,false,true,false,false,false,false,true,1491,235,20,10,4,1,92,false,false,false,true,false,false,false,7,0.875,-0.13353139262452252,0.45689655172413796
LI-7440063470382931968,https://www.linkedin.com/posts/shettys-desk_logistics-moves-it-supply-chain-decides-activity-7440063470382931968-74F-,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-03-18T15:56:01.034Z,132,21,0,1,22,aofa-2026-07-28-v1,H7,J2,P4,AR0,K3,PB3,C6,F2_static_image,true,true,false,false,false,true,true,false,false,false,false,1723,294,19,9,4,4,168,false,false,false,true,true,false,false,7,2.875,1.056052674249314,0.8362068965517241
LI-7440818644235890688,https://www.linkedin.com/posts/shettys-desk_roughly-60-of-a-typical-planners-week-is-activity-7440818644235890688-xhGw,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-03-20T17:56:48.511Z,130,11,0,0,11,aofa-2026-07-28-v1,H1,J7,P2,AR4,K5,PB6,C7,F2_static_image,true,false,false,false,false,false,true,false,false,false,false,1964,322,21,10,4,0,182,false,true,false,true,true,false,false,7,1.5,0.4054651081081646,0.6724137931034483
LI-7441926270415892480,https://www.linkedin.com/posts/shettys-desk_in-under-2-seconds-22-humans-execute-80-activity-7441926270415892480-mczq,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-03-23T19:18:07.171Z,127,5,0,0,5,aofa-2026-07-28-v1,H9,J4,P0,AR3,K1,PB8,C6,F2_static_image,true,true,true,true,false,false,false,false,false,false,true,1504,246,17,9,4,1,185,false,true,false,true,false,true,false,7,0.75,-0.2876820724517808,0.3879310344827586
LI-7442640583359221760,https://www.linkedin.com/posts/shettys-desk_every-time-a-delivery-gets-missed-where-i-activity-7442640583359221760-Z676,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-03-25T18:36:32.648Z,125,9,4,0,13,aofa-2026-07-28-v1,H2,J3,P0,AR0,K2,PB3,C6,F2_static_image,true,true,true,false,true,false,true,false,false,false,false,2163,352,21,9,4,2,210,true,false,false,true,false,false,false,7,1.75,0.5596157879354231,0.7327586206896551
LI-7443339949006868481,https://www.linkedin.com/posts/shettys-desk_every-supply-chain-professional-you-probably-activity-7443339949006868481-dUzc,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-03-27T16:55:34.412Z,123,4,0,0,4,aofa-2026-07-28-v1,H3,J1,P2,AR3,K2,PB6,C6,F2_static_image,true,true,true,false,true,false,true,false,false,false,false,1813,336,19,10,3,1,156,false,false,false,true,true,true,false,7,0.625,-0.47000362924573547,0.27586206896551724
LI-7444395247545057280,https://www.linkedin.com/posts/shettys-desk_when-strategic-decisions-get-made-with-operational-activity-7444395247545057280-KGf7,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-03-30T14:48:57.190Z,120,140,11,6,157,aofa-2026-07-28-v1,H7,J4,P0,AR0,K2,PB9,C6,F2_static_image,true,true,false,false,true,false,true,false,false,false,false,1852,292,18,9,4,5,193,false,false,false,true,false,false,false,7,19.75,2.983153491347131,0.9568965517241379
LI-7444759033854652419,https://www.linkedin.com/posts/shettys-desk_sales-says-well-sell-10000-units-operations-activity-7444759033854652419-yA_O,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-03-31T14:54:30.605Z,119,10,1,0,11,aofa-2026-07-28-v1,H3,J7,P0,AR0,K1,PB1,C6,F2_static_image,true,true,false,true,true,false,true,true,false,false,false,1732,291,19,8,6,4,195,false,true,false,true,false,false,false,7,1.5,0.4054651081081646,0.6724137931034483
LI-7446935501976064002,https://www.linkedin.com/posts/shettys-desk_why-does-ikea-build-millions-of-bookshelves-activity-7446935501976064002-dj_i,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-04-06T15:03:01.042Z,113,5,0,0,5,aofa-2026-07-28-v1,H8,J2,P3,AR0,K2,PB1,C6,F2_static_image,true,true,false,false,true,false,true,false,false,false,false,2005,327,24,12,5,5,157,true,false,false,true,false,false,false,7,0.75,-0.2876820724517808,0.3879310344827586
LI-7447660277678002177,https://www.linkedin.com/posts/shettys-desk_how-does-a-car-manufacturer-decide-to-build-activity-7447660277678002177-qhrf,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-04-08T15:03:01.035Z,111,24,4,3,31,aofa-2026-07-28-v1,H3,J2,P4,AR0,K3,PB11,C6,F2_static_image,true,true,false,true,true,false,true,false,false,false,false,2173,352,21,10,4,6,206,true,true,false,true,false,false,false,7,4,1.3862943611198908,0.853448275862069
LI-7448381026893983744,https://www.linkedin.com/posts/shettys-desk_there-are-over-250-supply-chain-metrics-in-activity-7448381026893983744-0Qb2,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-04-10T14:47:01.039Z,109,15,0,1,16,aofa-2026-07-28-v1,H9,J2,P4,AR4,K1,PB7,C6,F2_static_image,true,true,true,true,true,true,true,false,false,false,false,2043,334,30,9,12,7,219,false,true,false,true,true,true,false,7,2.125,0.7537718023763804,0.7844827586206896
LI-7449474230271836160,https://www.linkedin.com/posts/shettys-desk_how-do-you-buy-a-car-procurement-is-activity-7449474230271836160-jjnb,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-04-13T15:11:01.035Z,106,8,0,1,9,aofa-2026-07-28-v1,H8,J1,P2,AR0,K8,PB4,C6,F2_static_image,true,true,false,false,false,true,false,true,false,false,false,1674,257,21,10,5,3,21,true,false,false,true,true,false,false,7,1.25,0.22314355131421015,0.5862068965517241
LI-7449829567516557312,https://www.linkedin.com/posts/shettys-desk_why-does-the-team-buying-raw-materials-for-activity-7449829567516557312-Hobv,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-04-14T14:43:00.036Z,105,6,0,1,7,aofa-2026-07-28-v1,H7,J7,P2,AR0,K5,PB4,C6,F2_static_image,true,true,false,false,false,false,true,true,false,false,false,1935,291,18,9,3,3,186,true,false,false,true,true,false,false,7,1,0,0.5086206896551724
LI-7450197244596862976,https://www.linkedin.com/posts/shettys-desk_a-5-increase-in-consumer-demand-can-become-activity-7450197244596862976-YDji,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-04-15T15:04:01.083Z,104,4,0,0,4,aofa-2026-07-28-v1,H1,J3,P4,AR0,K3,PB10,C6,F2_static_image,true,true,false,false,true,false,true,false,false,false,false,1644,262,22,9,5,3,87,true,true,false,true,false,false,false,7,0.625,-0.47000362924573547,0.27586206896551724
LI-7450922775105495041,https://www.linkedin.com/posts/shettys-desk_safety-stock-exists-because-the-future-is-activity-7450922775105495041-rWI4,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-04-17T15:07:01.036Z,102,42,5,6,53,aofa-2026-07-28-v1,H9,J3,P3,AR4,K3,PB2,C6,F2_static_image,true,true,true,false,false,false,true,false,false,false,false,1871,309,22,10,4,5,237,false,false,false,true,false,true,false,7,6.75,1.9095425048844388,0.9224137931034483
LI-7452009427345362944,https://www.linkedin.com/posts/shettys-desk_why-does-your-supplier-say-6-weeks-but-the-activity-7452009427345362944-aEhm,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-04-20T15:04:59.119Z,99,15,0,0,15,aofa-2026-07-28-v1,H8,J4,P4,AR0,K2,PB4,C6,F2_static_image,true,true,true,false,true,true,true,false,false,false,false,1895,320,23,9,6,4,197,true,true,false,true,false,false,false,7,2,0.6931471805599454,0.7586206896551724
LI-7452733456163311616,https://www.linkedin.com/posts/shettys-desk_20-of-your-skus-drive-80-of-your-revenue-activity-7452733456163311616-jIG0,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-04-22T15:02:01.041Z,97,70,3,6,79,aofa-2026-07-28-v1,H1,J2,P6,AR4,K1,PB2,C6,F2_static_image,true,true,false,false,false,false,true,false,false,false,false,1960,315,28,9,10,2,261,false,true,false,true,false,true,false,7,10,2.3025850929940455,0.9396551724137931
LI-7453456470278504448,https://www.linkedin.com/posts/shettys-desk_why-did-your-company-choose-the-cheapest-activity-7453456470278504448-bWLa,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-04-24T14:55:01.039Z,95,3,0,1,4,aofa-2026-07-28-v1,H4,J2,P3,AR0,K1,PB4,C6,F2_static_image,true,true,false,false,true,false,true,false,false,false,false,1825,289,26,10,7,3,75,true,false,false,true,false,false,false,7,0.625,-0.47000362924573547,0.27586206896551724
LI-7454544388887609344,https://www.linkedin.com/posts/shettys-desk_a-1pl-owns-every-truck-and-every-warehouse-activity-7454544388887609344-UlOt,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-04-27T14:58:01.048Z,92,36,0,6,42,aofa-2026-07-28-v1,H9,J2,P0,AR0,K2,PB3,C6,F2_static_image,true,true,false,false,true,false,true,true,false,false,false,2045,321,19,7,6,2,202,false,true,false,true,false,false,false,7,5.375,1.6817585740137266,0.8879310344827587
LI-7455272436180205568,https://www.linkedin.com/posts/shettys-desk_the-answer-to-a-bad-forecast-isnt-a-better-activity-7455272436180205568-kXgo,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-04-29T15:11:01.049Z,90,2,0,0,2,aofa-2026-07-28-v1,H9,J1,P6,AR4,K8,PB11,C6,F2_static_image,true,true,false,false,false,false,false,true,false,false,false,2176,338,19,10,4,2,124,false,false,false,true,false,false,false,7,0.375,-0.9808292530117262,0.10344827586206896
LI-7455995198607839232,https://www.linkedin.com/posts/shettys-desk_offshoring-saves-money-on-labour-nearshoring-activity-7455995198607839232-Sg_m,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-05-01T15:03:01.040Z,88,3,0,1,4,aofa-2026-07-28-v1,H9,J7,P0,AR0,K2,PB2,C6,F2_static_image,true,true,false,false,true,false,true,false,false,false,false,2151,332,20,10,4,3,256,false,false,false,true,false,false,false,7,0.625,-0.47000362924573547,0.27586206896551724
LI-7457083867955621888,https://www.linkedin.com/posts/shettys-desk_just-in-time-was-the-greatest-supply-chain-activity-7457083867955621888-20qw,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-05-04T15:09:00.039Z,85,9,0,0,9,aofa-2026-07-28-v1,H7,J7,P4,AR0,K2,PB2,C6,F2_static_image,true,true,false,false,true,false,true,false,false,false,false,1994,313,20,10,5,3,111,false,true,false,true,false,false,false,7,1.25,0.22314355131421015,0.5862068965517241
LI-7457820979247902720,https://www.linkedin.com/posts/shettys-desk_single-sourcing-gives-you-leverage-through-activity-7457820979247902720-7Y4f,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-05-06T15:58:01.066Z,83,1,0,1,2,aofa-2026-07-28-v1,H2,J7,P0,AR0,K2,PB4,C6,F2_static_image,true,true,false,false,true,true,true,false,false,false,false,2211,332,24,11,7,5,103,false,false,false,true,true,false,false,7,0.375,-0.9808292530117262,0.10344827586206896
LI-7458548271448391680,https://www.linkedin.com/posts/shettys-desk_why-did-some-companies-recover-from-2020-activity-7458548271448391680-BfFI,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-05-08T16:08:01.039Z,81,2,0,1,3,aofa-2026-07-28-v1,H4,J3,P4,AR4,K2,PB4,C2,F2_static_image,true,true,true,false,false,true,true,true,false,false,false,2013,300,24,10,6,6,91,true,true,false,true,true,true,false,7,0.5,-0.6931471805599452,0.1810344827586207
LI-7459631156838391808,https://www.linkedin.com/posts/shettys-desk_supply-chain-leaders-who-cant-talk-in-o2c-activity-7459631156838391808-iprn,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-05-11T15:51:01.035Z,78,4,0,1,5,aofa-2026-07-28-v1,H2,J4,P4,AR0,K2,PB2,C6,F2_static_image,true,true,false,false,true,false,true,true,false,false,false,2060,332,17,9,3,4,249,false,true,false,true,false,false,false,7,0.75,-0.2876820724517808,0.3879310344827586
LI-7460357442569191425,https://www.linkedin.com/posts/shettys-desk_you-dont-need-50-metrics-you-need-10-that-activity-7460357442569191425-lOXw,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-05-13T15:57:01.047Z,76,7,0,0,7,aofa-2026-07-28-v1,H9,J7,P0,AR4,K3,PB2,C6,F2_static_image,true,true,true,false,true,false,true,false,false,false,false,2122,314,35,13,6,2,145,false,true,false,true,false,false,false,7,1,0,0.5086206896551724
LI-7461085741503111168,https://www.linkedin.com/posts/shettys-desk_you-can-be-10-years-deep-into-supply-chain-activity-7461085741503111168-wXGz,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-05-15T16:11:01.044Z,74,1175,70,86,1331,aofa-2026-07-28-v1,H9,J7,P0,AR4,K3,PB11,C6,F2_static_image,true,true,true,false,false,false,true,false,false,false,false,2632,405,31,16,7,4,100,true,true,false,true,false,false,false,7,166.5,5.1149953094204985,0.9913793103448276
LI-7464702976905957377,https://www.linkedin.com/posts/shettys-desk_why-does-everyone-know-which-supplier-is-activity-7464702976905957377-wh-v,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-05-25T15:44:37.169Z,64,4,0,0,4,aofa-2026-07-28-v1,H8,J7,P2,AR4,K2,PB4,C6,F2_static_image,true,true,true,false,true,false,true,false,false,false,false,2247,363,51,15,6,3,81,true,false,false,true,true,true,false,7,0.625,-0.47000362924573547,0.27586206896551724
LI-7465040047424331776,https://www.linkedin.com/posts/shettys-desk_a-po-is-not-a-document-it-is-a-legal-commitment-activity-7465040047424331776-kpcs,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-05-26T14:04:01.043Z,63,7,0,0,7,aofa-2026-07-28-v1,H2,J7,P4,AR4,K1,PB4,C6,F2_static_image,true,true,false,true,false,false,true,false,false,false,false,2277,372,29,15,8,2,107,false,false,false,true,false,true,false,7,1,0,0.5086206896551724
LI-7467221672685654016,https://www.linkedin.com/posts/shettys-desk_how-does-a-list-of-100-potential-suppliers-activity-7467221672685654016-qNGV,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-06-01T14:33:01.038Z,57,5,0,0,5,aofa-2026-07-28-v1,H8,J7,P2,AR4,K2,PB4,C6,F2_static_image,true,true,true,true,true,false,true,true,false,false,false,1542,264,25,13,5,6,91,true,true,false,true,true,true,false,7,0.75,-0.2876820724517808,0.3879310344827586
LI-7467587218128310272,https://www.linkedin.com/posts/shettys-desk_a-standard-rfq-takes-2-to-3-days-to-write-activity-7467587218128310272-myUJ,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-06-02T14:45:33.863Z,56,8,3,0,11,aofa-2026-07-28-v1,H7,J2,P3,AR3,K2,PB6,C7,F2_static_image,true,false,true,true,true,false,true,false,false,false,false,2026,320,29,15,6,0,139,false,true,false,true,false,true,false,7,1.5,0.4054651081081646,0.6724137931034483
LI-7469706903196082176,https://www.linkedin.com/posts/shettys-desk_your-suppliers-price-increase-lands-on-your-activity-7469706903196082176-AcpM,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-06-08T11:08:26.165Z,50,2,0,0,2,aofa-2026-07-28-v1,H9,J4,P3,AR3,K1,PB4,C7,F2_static_image,true,true,true,false,true,false,false,false,false,false,true,2134,346,27,12,5,2,120,true,true,false,true,false,true,false,7,0.375,-0.9808292530117262,0.10344827586206896
LI-7470120775623004160,https://www.linkedin.com/posts/shettys-desk_every-procurement-team-has-a-process-although-activity-7470120775623004160-eef3,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-06-09T14:33:01.041Z,49,4,0,0,4,aofa-2026-07-28-v1,H7,J2,P2,AR0,K1,PB4,C6,F2_static_image,true,true,false,true,true,false,true,false,false,false,false,1702,299,26,10,4,1,123,false,false,false,true,true,false,false,7,0.625,-0.47000362924573547,0.27586206896551724
LI-7470469573981515776,https://www.linkedin.com/posts/shettys-desk_why-does-every-cost-reduction-programme-start-activity-7470469573981515776-ldhd,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-06-10T13:39:01.050Z,48,3,0,0,3,aofa-2026-07-28-v1,H7,J1,P6,AR0,K3,PB4,C6,F2_static_image,true,true,true,false,false,false,true,false,false,false,false,1847,301,31,11,3,2,110,true,false,false,true,false,false,false,7,0.5,-0.6931471805599452,0.1810344827586207
LI-7474809168688910336,https://www.linkedin.com/posts/shettys-desk_one-2x2-grid-drawn-in-1983-still-decides-activity-7474809168688910336-WkTV,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-06-22T13:03:01.054Z,36,2,0,0,2,aofa-2026-07-28-v1,H9,J3,P6,AR4,K1,PB4,C6,F2_static_image,true,true,false,false,false,true,false,true,false,false,false,1218,211,17,7,5,1,80,false,true,false,true,true,true,false,7,0.375,-0.9808292530117262,0.10344827586206896
LI-7475163000140697600,https://www.linkedin.com/posts/shettys-desk_cooking-dinner-or-ordering-in-is-the-same-activity-7475163000140697600-RU5u,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-06-23T12:29:01.046Z,35,4,0,0,4,aofa-2026-07-28-v1,H9,J4,P4,AR0,K2,PB4,C1,F2_static_image,true,true,false,false,true,false,false,true,false,false,false,1292,221,21,10,3,3,86,true,false,false,true,false,false,false,7,0.625,-0.47000362924573547,0.27586206896551724
LI-7475926531735785473,https://www.linkedin.com/posts/shettys-desk_how-do-you-run-a-supplier-qbr-when-the-scorecard-activity-7475926531735785473-ATa0,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-06-25T15:03:01.164Z,33,1,0,0,1,aofa-2026-07-28-v1,H4,J2,P0,AR3,K1,PB4,C7,F2_static_image,true,true,false,false,false,false,false,false,false,false,true,1543,258,22,10,4,1,156,true,false,false,true,false,true,false,7,0.25,-1.3862943611198904,0.02586206896551724
LI-7476282376017510400,https://www.linkedin.com/posts/shettys-desk_a-supplier-wants-9-before-the-meeting-activity-7476282376017510400-zqSb,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-06-26T14:37:01.052Z,32,5,0,0,5,aofa-2026-07-28-v1,H1,J4,P6,AR3,K1,PB6,C7,F2_static_image,true,false,false,false,true,false,false,true,false,false,false,1470,263,20,10,3,0,124,false,true,false,true,false,true,false,7,0.75,-0.2876820724517808,0.3879310344827586
