mechanicId,fieldName,codeValue,track,postN,creatorN,sizeStrataN,nearPeerCreatorN,medianResponseRatio,aboveCreatorMedianShare,creatorWeightedEffect,ciLow,ciHigh,positiveCreatorShare,matchedPairN,positiveFeatureContrastShare,trackAStatus,uniqueCaseN,trackBStatus
contentClass:K2,contentClass,K2,A,20,9,3,4,0.7735,0.3,-0.3548,-0.669,0.1011,0.1667,0,,not_observed,,
contentClass:K3,contentClass,K3,A,125,10,3,5,1.0769,0.552,0.2548,0.0659,0.5082,0.8,0,,not_observed,,
contentClass:K4,contentClass,K4,A,24,8,3,4,0.7474,0.4167,-0.3379,-0.5753,0.3635,0.3333,0,,not_observed,,
contentClass:K5,contentClass,K5,A,11,7,3,4,0.8316,0.0909,-0.4674,-0.5382,-0.0857,0,0,,not_observed,,
contentClass:K6,contentClass,K6,A,14,8,3,4,1.0263,0.5,-0.0662,-0.6561,0.3567,0.5,0,,not_observed,,
contentClass:K7,contentClass,K7,A,11,6,3,2,1.3051,0.6364,0.386,-0.0283,0.6594,0.6667,0,,not_observed,,
contentClass:K8,contentClass,K8,A,11,7,3,3,1,0.4545,-0.1198,-0.3732,0.1335,0.5,0,,not_observed,,
problemFamily:PB1,problemFamily,PB1,A,1,1,1,1,0.8421,0,,,,,0,,not_observed,,
problemFamily:PB10,problemFamily,PB10,A,7,3,3,1,1.0339,0.5714,-0.0551,-0.0655,-0.0447,0,2,0.5,not_observed,,
problemFamily:PB11,problemFamily,PB11,A,15,6,3,4,1.0526,0.5333,0.1054,-0.3365,1.6082,0.8,8,0.625,not_observed,,
problemFamily:PB12,problemFamily,PB12,A,27,6,3,3,1.3051,0.7037,0.3237,0.1128,0.7591,0.8333,8,0.375,not_observed,,
problemFamily:PB2,problemFamily,PB2,A,2,2,1,2,0.9737,0.5,,,,,0,,not_observed,,
problemFamily:PB3,problemFamily,PB3,A,10,4,2,3,1.0046,0.5,0.0192,-0.2384,0.2768,0.5,3,1,not_observed,,
problemFamily:PB4,problemFamily,PB4,A,61,6,3,3,1,0.4754,-0.2126,-0.539,0.3436,0.25,9,0.3333,not_observed,,
problemFamily:PB5,problemFamily,PB5,A,1,1,1,0,0.9661,0,,,,,0,,not_observed,,
problemFamily:PB6,problemFamily,PB6,A,54,8,3,3,1,0.463,-0.1141,-0.6951,0.1158,0.4286,6,0.6667,not_observed,,
problemFamily:PB7,problemFamily,PB7,A,16,2,2,1,0.9713,0.5,-0.2246,-0.2246,-0.2246,0,0,,not_observed,,
problemFamily:PB8,problemFamily,PB8,A,25,5,2,4,0.9474,0.4,-0.4495,-0.6354,-0.1054,0,2,1,not_observed,,
problemFamily:PB9,problemFamily,PB9,A,28,8,3,4,0.8592,0.3929,-0.3971,-0.75,0.2173,0.25,4,0,not_observed,,
cta:C0,cta,C0,A,100,10,3,5,1,0.49,-0.113,-0.2729,0.3722,0.3,17,0.5294,not_observed,,
cta:C1,cta,C1,A,7,5,3,2,1.0894,0.5714,0.1999,-0.1576,0.5575,0.5,1,0,not_observed,,
cta:C2,cta,C2,A,18,5,3,1,0.6805,0.2222,-0.452,-1.6535,-0.4253,0,3,0.3333,not_observed,,
cta:C3,cta,C3,A,9,5,3,3,1.0769,0.6667,0.0741,0.0741,0.0741,1,1,0,not_observed,,
cta:C6,cta,C6,A,88,9,3,5,0.9483,0.4545,-0.1721,-0.7235,0.2791,0.375,16,0.4375,not_observed,,
cta:C7,cta,C7,A,25,8,3,3,1.3051,0.68,0.3814,0.1248,0.6489,1,10,0.7,not_observed,,
nativeFormat:F1_text_only,nativeFormat,F1_text_only,A,38,4,3,2,1,0.4474,-0.2027,-0.4055,0.9385,0.3333,0,,not_observed,,
nativeFormat:F2_static_image,nativeFormat,F2_static_image,A,143,10,3,5,1,0.4615,-0.2578,-0.965,0.3879,0.4,0,,not_observed,,
nativeFormat:F3_multi_image,nativeFormat,F3_multi_image,A,28,8,3,3,1.4444,0.6786,0.5156,-0.6161,1.2541,0.5714,0,,not_observed,,
nativeFormat:F4_document,nativeFormat,F4_document,A,6,2,1,2,0.7368,0.3333,-0.2231,-0.2231,-0.2231,0,0,,not_observed,,
nativeFormat:F5_video,nativeFormat,F5_video,A,28,5,2,3,1,0.5,-0.3764,-1.1451,0.7066,0.3333,0,,not_observed,,
nativeFormat:F6_link_article,nativeFormat,F6_link_article,A,4,4,2,3,0.9824,0.5,,,,,0,,not_observed,,
hook:H1,hook,H1,B,,9,,,,,,,,,12,0.5,,10,not_observed
hook:H3,hook,H3,B,,5,,,,,,,,,7,0.7143,,5,heuristic_top100_signal
hook:H4,hook,H4,B,,8,,,,,,,,,13,0.8462,,10,heuristic_top100_signal
hook:H9,hook,H9,B,,16,,,,,,,,,29,0.1724,,22,not_observed
hook:H7,hook,H7,B,,3,,,,,,,,,3,1,,3,not_observed
hook:H5,hook,H5,B,,1,,,,,,,,,2,1,,1,not_observed
hook:H2,hook,H2,B,,3,,,,,,,,,5,0.8,,3,not_observed
job:J3,job,J3,B,,16,,,,,,,,,31,0.5161,,25,not_observed
job:J4,job,J4,B,,13,,,,,,,,,20,0.3,,18,not_observed
job:J1,job,J1,B,,12,,,,,,,,,19,0.7895,,13,heuristic_top100_signal
job:J7,job,J7,B,,4,,,,,,,,,5,0.2,,4,not_observed
job:J2,job,J2,B,,4,,,,,,,,,4,0.5,,4,not_observed
job:J5,job,J5,B,,0,,,,,,,,,0,,,0,not_observed
job:J6,job,J6,B,,1,,,,,,,,,1,0,,1,not_observed
proof:P6,proof,P6,B,,7,,,,,,,,,13,0.6923,,10,heuristic_top100_signal
proof:P4,proof,P4,B,,9,,,,,,,,,12,0.3333,,10,not_observed
proof:P3,proof,P3,B,,7,,,,,,,,,10,0.7,,9,heuristic_top100_signal
proof:P0,proof,P0,B,,16,,,,,,,,,27,0.4444,,21,not_observed
proof:P1,proof,P1,B,,6,,,,,,,,,7,0.1429,,7,not_observed
proof:P2,proof,P2,B,,8,,,,,,,,,11,0.6364,,9,heuristic_top100_signal
artifact:AR4,artifact,AR4,B,,10,,,,,,,,,17,0.6471,,13,heuristic_top100_signal
artifact:AR0,artifact,AR0,B,,12,,,,,,,,,19,0.3158,,17,not_observed
artifact:AR2,artifact,AR2,B,,5,,,,,,,,,11,0.5455,,8,not_observed
artifact:AR5,artifact,AR5,B,,2,,,,,,,,,3,0.6667,,2,not_observed
artifact:AR1,artifact,AR1,B,,5,,,,,,,,,7,0.5714,,6,not_observed
artifact:AR3,artifact,AR3,B,,9,,,,,,,,,13,0.4615,,10,not_observed
contentClass:K2,contentClass,K2,B,,0,,,,,,,,,0,,,0,not_observed
contentClass:K3,contentClass,K3,B,,0,,,,,,,,,0,,,0,not_observed
contentClass:K1,contentClass,K1,B,,0,,,,,,,,,0,,,0,not_observed
contentClass:K8,contentClass,K8,B,,0,,,,,,,,,0,,,0,not_observed
contentClass:K6,contentClass,K6,B,,0,,,,,,,,,0,,,0,not_observed
contentClass:K7,contentClass,K7,B,,0,,,,,,,,,0,,,0,not_observed
contentClass:K5,contentClass,K5,B,,0,,,,,,,,,0,,,0,not_observed
contentClass:K4,contentClass,K4,B,,0,,,,,,,,,0,,,0,not_observed
problemFamily:PB1,problemFamily,PB1,B,,3,,,,,,,,,5,0.4,,5,not_observed
problemFamily:PB5,problemFamily,PB5,B,,0,,,,,,,,,0,,,0,not_observed
problemFamily:PB10,problemFamily,PB10,B,,3,,,,,,,,,6,1,,4,not_observed
problemFamily:PB6,problemFamily,PB6,B,,3,,,,,,,,,6,0,,4,not_observed
problemFamily:PB4,problemFamily,PB4,B,,2,,,,,,,,,3,0,,3,not_observed
problemFamily:PB2,problemFamily,PB2,B,,1,,,,,,,,,1,0,,1,not_observed
problemFamily:PB9,problemFamily,PB9,B,,1,,,,,,,,,1,0,,1,not_observed
problemFamily:PB11,problemFamily,PB11,B,,2,,,,,,,,,5,0.8,,3,not_observed
problemFamily:PB3,problemFamily,PB3,B,,2,,,,,,,,,4,1,,2,not_observed
problemFamily:PB12,problemFamily,PB12,B,,1,,,,,,,,,1,0,,1,not_observed
problemFamily:PB7,problemFamily,PB7,B,,1,,,,,,,,,2,1,,1,not_observed
cta:C6,cta,C6,B,,17,,,,,,,,,29,0.3448,,23,not_observed
cta:C7,cta,C7,B,,4,,,,,,,,,9,0.6667,,6,heuristic_top100_signal
cta:C1,cta,C1,B,,7,,,,,,,,,11,0.6364,,8,heuristic_top100_signal
cta:C2,cta,C2,B,,4,,,,,,,,,6,0.8333,,4,not_observed
cta:C3,cta,C3,B,,1,,,,,,,,,1,1,,1,not_observed
cta:C0,cta,C0,B,,9,,,,,,,,,12,0.5,,9,not_observed
nativeFormat:F2_static_image,nativeFormat,F2_static_image,B,,0,,,,,,,,,0,,,0,not_observed
nativeFormat:F6_link_article,nativeFormat,F6_link_article,B,,0,,,,,,,,,0,,,0,not_observed
