canonicalPostId,canonicalUrl,referenceIds,creatorId,creator,creatorProfileUrl,publishedAt,postAgeDays,publicInteractions,creatorBaselineN,creatorMedianInteractions,responseRatio,logResponseLift,maturityStatus,quantitativeStatus,automatedFeatureVersion,hook,job,proof,artifact,contentClass,problemFamily,cta,nativeFormat,usesNumber,usesQuestion,operationalInputs,operationalSteps,operationalOutput,operationalValidation,ddNews,ddPromotion,ddPersonalAuthority,ddCommentGate,ddEvergreen,captionChars,captionWords,lineCount,paragraphCount,bulletLineCount,questionCount,firstLineChars,firstLineHasQuestion,firstLineHasNumber,urlPresent,numericExpressionPresent,sourceTermPresent,artifactTermPresent,endingQuestion
LI-7465008937407356928,https://www.linkedin.com/posts/ericpartaker_a-full-strategy-book-in-one-page-heres-activity-7465008937407356928-mb9I,19,https://www.linkedin.com/in/ericpartaker,Eric Partaker,https://www.linkedin.com/in/ericpartaker,2026-05-26T12:00:23.837Z,63,4514,13,1373,3.2860262008733625,1.1896789930687914,mature,quantitative,aofa-2026-07-28-v1,H9,J1,P6,AR2,K3,PB11,C2,F2_static_image,true,true,false,false,false,false,false,false,false,false,true,847,144,31,9,11,1,35,false,false,true,true,false,true,false
LI-7466778079034769408,https://www.linkedin.com/posts/supplychainaipro_%F0%9D%90%93%F0%9D%90%A1%F0%9D%90%9E-%F0%9D%90%8C%F0%9D%90%A8%F0%9D%90%9D%F0%9D%90%9E%F0%9D%90%AB%F0%9D%90%A7-%F0%9D%90%8F%F0%9D%90%AB%F0%9D%90%A8%F0%9D%90%9C%F0%9D%90%AE%F0%9D%90%AB%F0%9D%90%9E%F0%9D%90%A6%F0%9D%90%9E%F0%9D%90%A7%F0%9D%90%AD-activity-7466778079034769408-o058,20,https://www.linkedin.com/in/supplychainaipro,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,2026-05-31T09:10:20.070Z,58,312,2,235,1.326271186440678,0.28237138551454244,mature,descriptive_only,aofa-2026-07-28-v1,H9,J2,P0,AR0,K3,PB4,C7,F2_static_image,false,false,false,false,false,false,false,false,false,false,true,1033,142,17,5,0,0,92,false,false,false,false,false,false,false
LI-7465701646250070016,https://www.linkedin.com/posts/alex-vacca_if-i-was-setting-up-linkedin-outbound-from-activity-7465701646250070016-gp7t,21,https://www.linkedin.com/in/alex-vacca,Alex Vacca,https://www.linkedin.com/in/alex-vacca,2026-05-28T09:52:58.495Z,61,550,19,342,1.6064139941690962,0.4740043619869745,mature,quantitative,aofa-2026-07-28-v1,H7,J4,P3,AR3,K8,PB10,C3,F2_static_image,true,true,false,false,false,false,true,true,false,false,false,1756,278,60,25,7,5,90,false,false,false,true,false,false,true
LI-7465654357552824320,https://www.linkedin.com/posts/supplychainaipro_nobody-told-me-procurement-could-feel-this-activity-7465654357552824320-Vz0i,22,https://www.linkedin.com/in/supplychainaipro,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,2026-05-28T06:45:03.991Z,61,785,2,235,3.330508474576271,1.203124987403596,mature,descriptive_only,aofa-2026-07-28-v1,H9,J4,P1,AR0,K3,PB6,C6,F2_static_image,true,true,false,false,false,false,false,false,false,false,true,1175,108,21,8,0,1,52,false,false,false,true,false,false,false
LI-7465748779611197440,https://www.linkedin.com/posts/will-mctighe_linkedin-isnt-too-crowded-starting-from-activity-7465748779611197440-ZIBR,23,https://www.linkedin.com/in/will-mctighe,Will McTighe,https://www.linkedin.com/in/will-mctighe,2026-05-28T13:00:15.964Z,61,1356,16,905,1.4977924944812362,0.4039923537918897,mature,quantitative,aofa-2026-07-28-v1,H1,J3,P1,AR2,K1,PB10,C6,F2_static_image,true,true,true,true,true,false,true,false,false,false,false,2444,434,55,27,0,1,27,false,false,true,true,true,true,false
LI-7465695889701990400,https://www.linkedin.com/posts/ericpartaker_youve-heard-of-okrs-youve-tracked-kpis-activity-7465695889701990400-R6LQ,24,https://www.linkedin.com/in/ericpartaker,Eric Partaker,https://www.linkedin.com/in/ericpartaker,2026-05-28T09:30:06.027Z,61,2095,13,1373,1.5254730713245996,0.4223045726586383,mature,quantitative,aofa-2026-07-28-v1,H9,J1,P4,AR2,K3,PB11,C1,F2_static_image,true,true,false,false,false,false,false,true,false,false,false,1262,209,57,25,10,3,42,false,false,true,true,false,false,false
LI-7464969341328019456,https://www.linkedin.com/posts/amit-kumar-rai-a945842b_here-is-a-highly-concise-executive-summary-activity-7464969341328019456-eHeb,25,https://www.linkedin.com/in/amit-kumar-rai-a945842b,Amit Kumar Rai,https://www.linkedin.com/in/amit-kumar-rai-a945842b,2026-05-26T09:23:03.396Z,63,18,30,16,1.1176470588235294,0.1112256351102241,mature,quantitative,aofa-2026-07-28-v1,H5,J1,P3,AR4,K1,PB3,C0,F2_static_image,true,false,false,true,true,true,false,false,false,false,true,1863,251,16,1,4,0,192,false,true,false,true,true,false,false
LI-7464950856669458432,https://www.linkedin.com/posts/marek-dabrowski-8a502370_leanmanufacturing-continuousimprovement-operationsmanagement-activity-7464950856669458432-YNut,26,https://www.linkedin.com/in/marek-dabrowski-8a502370,Marek Dabrowski,https://www.linkedin.com/in/marek-dabrowski-8a502370,2026-05-26T08:09:36.310Z,63,897,25,7,112.25,4.720728526622365,mature,quantitative,aofa-2026-07-28-v1,H2,J5,P0,AR0,K6,PB9,C6,F2_static_image,true,true,false,false,false,false,false,false,false,false,true,1061,166,40,17,5,1,38,false,false,false,true,false,false,true
LI-7465337376018481152,https://www.linkedin.com/posts/magalidereu_last-august-i-was-broke-af-posting-on-a-activity-7465337376018481152-L_Hr,27,https://www.linkedin.com/in/magalidereu,Magali De Reu,https://www.linkedin.com/in/magalidereu,2026-05-27T09:45:29.704Z,62,996,15,494,2.014141414141414,0.7001930073931479,mature,quantitative,aofa-2026-07-28-v1,H4,J3,P4,AR4,K7,PB10,C2,F2_static_image,true,true,true,false,false,false,false,false,true,false,true,1861,299,52,21,15,1,155,false,true,false,true,false,true,false
LI-7437105309875183616,https://www.linkedin.com/posts/yonathan-levy_linkedin-rewards-the-people-who-understand-activity-7437105309875183616-v30x,28,https://www.linkedin.com/in/yonathan-levy,Yonathan Levy,https://www.linkedin.com/in/yonathan-levy,2026-03-10T12:01:20.609Z,140,539,22,224,2.4,0.8754687373539003,mature,quantitative,aofa-2026-07-28-v1,H1,J4,P0,AR0,K5,PB10,C2,F2_static_image,true,false,false,false,false,false,false,false,false,false,true,731,121,19,7,4,0,56,false,false,false,true,true,false,false
LI-7464933759554015232,https://www.linkedin.com/posts/supplychainaipro_%F0%9D%97%AC%F0%9D%97%BC%F0%9D%98%82%F0%9D%97%BF-%F0%9D%97%94%F0%9D%97%9C-%F0%9D%98%81%F0%9D%97%BC%F0%9D%97%BC%F0%9D%97%B9-%F0%9D%97%B6%F0%9D%98%80%F0%9D%97%BB%F0%9D%98%81-%F0%9D%98%81%F0%9D%97%B5%F0%9D%97%B2-%F0%9D%97%BD%F0%9D%97%BF%F0%9D%97%BC%F0%9D%97%AF%F0%9D%97%B9%F0%9D%97%B2%F0%9D%97%BA-activity-7464933759554015232-HcIw,29,https://www.linkedin.com/in/supplychainaipro,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,2026-05-26T07:01:40.040Z,63,134,2,235,0.5720338983050848,-0.5585570265871809,mature,descriptive_only,aofa-2026-07-28-v1,H9,J4,P4,AR0,K8,PB6,C1,F2_static_image,true,true,false,false,false,false,false,true,false,false,false,2169,216,45,13,0,2,103,false,false,false,true,false,false,false
LI-7463202442491650048,https://www.linkedin.com/posts/marciadwilliams_not-every-sop-is-equal-this-infographic-activity-7463202442491650048--i8y,33,https://www.linkedin.com/in/marciadwilliams,Marcia D Williams,https://www.linkedin.com/in/marciadwilliams,2026-05-21T12:22:01.886Z,68,401,15,476,0.8427672955974843,-0.1710644022693204,mature,quantitative,aofa-2026-07-28-v1,H3,J7,P0,AR3,K3,PB1,C6,F2_static_image,true,true,false,false,false,false,true,false,false,false,false,1078,157,35,11,0,1,24,false,false,true,true,false,true,false
LI-7462756369956229120,https://www.linkedin.com/posts/supplychainaipro_%F0%9D%97%AC%F0%9D%97%BC%F0%9D%98%82%F0%9D%97%BF-%F0%9D%97%94%F0%9D%97%9C-%F0%9D%97%BD%F0%9D%97%B6%F0%9D%97%B9%F0%9D%97%BC%F0%9D%98%81-%F0%9D%98%84%F0%9D%97%B6%F0%9D%97%B9%F0%9D%97%B9-%F0%9D%97%B3%F0%9D%97%AE%F0%9D%97%B6%F0%9D%97%B9-activity-7462756369956229120-NPTO,34,https://www.linkedin.com/in/supplychainaipro,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,2026-05-20T06:49:29.906Z,69,169,2,235,0.7203389830508474,-0.32803336797534843,mature,descriptive_only,aofa-2026-07-28-v1,H9,J4,P1,AR4,K1,PB6,C6,F2_static_image,true,true,false,true,false,true,false,false,false,false,true,1047,147,26,10,0,1,43,false,false,true,true,false,true,false
LI-7462819434639056896,https://www.linkedin.com/posts/yonathan-levy_linkedin-replaced-its-algorithm-with-a-single-activity-7462819434639056896-NSmK,36,https://www.linkedin.com/in/yonathan-levy,Yonathan Levy,https://www.linkedin.com/in/yonathan-levy,2026-05-20T11:00:05.698Z,69,219,22,224,0.9777777777777777,-0.022472855852059048,mature,quantitative,aofa-2026-07-28-v1,H4,J1,P0,AR0,K3,PB10,C7,F2_static_image,true,false,false,true,false,true,false,false,false,false,true,962,168,18,5,4,0,56,false,false,false,true,false,false,false
LI-7462400649981476864,https://www.linkedin.com/posts/supplychainaipro_%F0%9D%90%87%F0%9D%90%A8%F0%9D%90%AD-%F0%9D%90%AD%F0%9D%90%9A%F0%9D%90%A4%F0%9D%90%9E-%F0%9D%90%8C%F0%9D%90%A8%F0%9D%90%AC%F0%9D%90%AD-%F0%9D%90%A9%F0%9D%90%AB%F0%9D%90%A8%F0%9D%90%9C%F0%9D%90%AE%F0%9D%90%AB%F0%9D%90%9E%F0%9D%90%A6%F0%9D%90%9E%F0%9D%90%A7%F0%9D%90%AD-activity-7462400649981476864-oy_K,38,https://www.linkedin.com/in/supplychainaipro,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,2026-05-19T07:15:59.655Z,70,200,2,235,0.8516949152542372,-0.16052689696653477,mature,descriptive_only,aofa-2026-07-28-v1,H9,J3,P0,AR0,K1,PB6,C0,F2_static_image,true,false,false,true,false,false,false,false,false,false,true,1776,150,31,10,0,0,136,false,false,true,true,false,true,false
LI-7461899653442060288,https://www.linkedin.com/posts/hashimhamdanek_sop-salesandoperationsplanning-demandplanning-activity-7461899653442060288-jPql,39,https://www.linkedin.com/in/hashimhamdanek,Hashim H.,https://www.linkedin.com/in/hashimhamdanek,2026-05-17T22:05:12.772Z,72,1266,23,70,17.845070422535212,2.881727303279823,mature,quantitative,aofa-2026-07-28-v1,H9,J4,P0,AR3,K2,PB1,C6,F2_static_image,false,true,false,true,true,true,false,false,false,false,true,1534,200,41,3,10,5,60,false,false,false,false,false,true,true
LI-7462504793379545088,https://www.linkedin.com/posts/aleksandar-radosevic-b2b-saas-copywriting_linkedin-content-creation-tools-are-getting-activity-7462504793379545088-JnMT,40,https://www.linkedin.com/in/aleksandar-radosevic-b2b-saas-copywriting,Aleksandar Radosevic,https://www.linkedin.com/in/aleksandar-radosevic-b2b-saas-copywriting,2026-05-19T14:09:49.376Z,70,50,5,37,1.3421052631578947,0.29423947299794007,mature,descriptive_only,aofa-2026-07-28-v1,H9,J4,P4,AR5,K3,PB10,C7,F2_static_image,true,true,false,false,true,false,true,false,false,false,false,2977,492,46,18,9,4,139,false,false,false,true,false,false,false
LI-7462103543844388864,https://www.linkedin.com/posts/joshejsanders_everyone-tells-you-to-just-post-but-nobody-activity-7462103543844388864-RNc9,42,https://www.linkedin.com/in/joshejsanders,Josh S.,https://www.linkedin.com/in/joshejsanders,2026-05-18T11:35:24.032Z,71,445,14,590.5,0.7540152155536771,-0.2823427313983773,mature,quantitative,aofa-2026-07-28-v1,H4,J3,P3,AR1,K1,PB10,C2,F2_static_image,true,true,false,false,true,true,true,true,false,false,false,2376,397,66,22,0,2,34,false,false,true,true,false,true,false
LI-7462022923265134592,https://www.linkedin.com/posts/richardvanderblom_the-algorithm-insights-report-2026-is-built-activity-7462022923265134592-_rGV,43,https://www.linkedin.com/in/richardvanderblom,Richard van der Blom,https://www.linkedin.com/in/richardvanderblom,2026-05-18T06:15:02.588Z,71,715,19,330,2.163141993957704,0.7715617915835828,mature,quantitative,aofa-2026-07-28-v1,H4,J3,P2,AR3,K1,PB10,C6,F2_static_image,true,true,false,true,false,false,false,false,false,false,true,2588,361,36,16,0,3,80,false,true,true,true,true,false,true
LI-7458568915321982976,https://www.linkedin.com/posts/demanddrivencarol_a-ceo-told-me-last-month-that-his-supply-activity-7458568915321982976-xuiZ,44,https://www.linkedin.com/in/demanddrivencarol,Carol Ptak,https://www.linkedin.com/in/demanddrivencarol,2026-05-08T17:30:02.922Z,81,362,1,27,12.964285714285714,2.5621983240896467,mature,descriptive_only,aofa-2026-07-28-v1,H4,J3,P4,AR0,K3,PB1,C6,F2_static_image,true,true,true,false,false,false,false,false,false,false,true,2089,346,42,19,0,2,113,false,false,false,true,false,false,true
LI-7462094771885449216,https://www.linkedin.com/posts/mischa-collins_if-i-had-to-start-my-linkedin-again-this-activity-7462094771885449216-D6zg,45,https://www.linkedin.com/in/mischa-collins,Mischa Collins,https://www.linkedin.com/in/mischa-collins,2026-05-18T11:00:32.634Z,71,749,16,717,1.0445682451253482,0.04360363748213203,mature,quantitative,aofa-2026-07-28-v1,H9,J2,P2,AR0,K2,PB10,C6,F2_static_image,true,true,false,false,false,false,false,false,false,false,true,1298,216,49,15,0,1,65,false,false,false,true,true,false,true
LI-7460562088730562560,https://www.linkedin.com/posts/mayank-pandey-56359295_supplychain-demandplanning-supplyplanning-activity-7460562088730562560-8FoF,46,https://www.linkedin.com/in/mayank-pandey-56359295,Mayank Pandey,https://www.linkedin.com/in/mayank-pandey-56359295,2026-05-14T05:30:12.494Z,75,99,0,,,,mature,descriptive_only,aofa-2026-07-28-v1,H9,J2,P6,AR3,K2,PB2,C0,F2_static_image,true,true,false,false,true,false,false,false,false,false,true,2741,309,119,37,0,3,53,false,false,false,true,false,true,false
LI-7459787333303943168,https://www.linkedin.com/posts/mercadokorina_industrialengineers-industrialengineering-activity-7459787333303943168-2BrI,47,https://www.linkedin.com/in/mercadokorina,Korina Mercado,https://www.linkedin.com/in/mercadokorina,2026-05-12T02:11:36.406Z,77,1187,6,62.5,18.708661417322833,2.928986594023945,mature,descriptive_only,aofa-2026-07-28-v1,H9,J4,P3,AR2,K1,PB6,C7,F2_static_image,true,false,false,true,false,true,false,false,false,false,true,2545,354,55,12,0,0,59,false,true,true,true,false,true,false
LI-7461007326070800384,https://www.linkedin.com/posts/yonathan-levy_the-best-way-to-sell-on-linkedin-is-to-stop-activity-7461007326070800384-fktl,48,https://www.linkedin.com/in/yonathan-levy,Yonathan Levy,https://www.linkedin.com/in/yonathan-levy,2026-05-15T10:59:25.348Z,74,197,22,224,0.88,-0.12783337150988494,mature,quantitative,aofa-2026-07-28-v1,H1,J3,P2,AR2,K8,PB10,C1,F2_static_image,true,false,false,true,true,false,false,true,false,false,false,874,161,26,9,0,0,52,false,false,false,true,true,true,false
LI-7460581602880864258,https://www.linkedin.com/posts/supplychainaipro_6-steps-1-goal-%F0%9D%90%81%F0%9D%90%9E%F0%9D%90%AD%F0%9D%90%AD%F0%9D%90%9E%F0%9D%90%AB-%F0%9D%90%8E%F0%9D%90%AE%F0%9D%90%AD%F0%9D%90%9C%F0%9D%90%A8%F0%9D%90%A6%F0%9D%90%9E%F0%9D%90%AC-activity-7460581602880864258-e787,49,https://www.linkedin.com/in/supplychainaipro,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,2026-05-14T06:47:45.030Z,75,154,2,235,0.6567796610169492,-0.4204066881063637,mature,descriptive_only,aofa-2026-07-28-v1,H2,J2,P0,AR0,K1,PB6,C6,F2_static_image,true,true,false,true,false,false,false,false,false,false,true,1233,128,19,6,0,1,60,false,true,true,true,false,false,false
LI-7460295282996649984,https://www.linkedin.com/posts/jaindl_everyone-overcomplicates-linkedin-growth-activity-7460295282996649984-wKSn,50,https://www.linkedin.com/in/jaindl,MJ Jaindl,https://www.linkedin.com/in/jaindl,2026-05-13T11:50:01.050Z,76,450,16,284.5,1.5796847635726796,0.4572253104066135,mature,quantitative,aofa-2026-07-28-v1,H4,J1,P2,AR0,K5,PB10,C0,F2_static_image,true,false,false,false,false,false,false,false,false,false,true,1717,228,51,16,0,0,41,false,false,false,true,true,true,false
LI-7459540348030287872,https://www.linkedin.com/posts/adam-smiarowski_i-talk-to-supply-chain-directors-regularly-activity-7459540348030287872-1N9b,51,https://www.linkedin.com/in/adam-smiarowski,Adam Smiarowski,https://www.linkedin.com/in/adam-smiarowski,2026-05-11T09:50:10.528Z,78,88,25,17,4.944444444444445,1.5982646118359751,mature,quantitative,aofa-2026-07-28-v1,H9,J1,P6,AR0,K2,PB6,C6,F2_static_image,true,true,false,true,true,false,false,false,false,false,true,1227,198,30,9,5,2,43,false,false,false,true,false,false,true
LI-7460219130940489729,https://www.linkedin.com/posts/supplychainaipro_%F0%9D%90%87%F0%9D%90%A8%F0%9D%90%B0-%F0%9D%90%AD%F0%9D%90%A8-%F0%9D%90%8C%F0%9D%90%9A%F0%9D%90%AC%F0%9D%90%AD%F0%9D%90%9E%F0%9D%90%AB-%F0%9D%90%8F%F0%9D%90%AB%F0%9D%90%A8%F0%9D%90%9C%F0%9D%90%AE%F0%9D%90%AB%F0%9D%90%9E%F0%9D%90%A6-activity-7460219130940489729-40oI,52,https://www.linkedin.com/in/supplychainaipro,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,2026-05-13T06:47:24.985Z,76,516,2,235,2.190677966101695,0.7842110694828186,mature,descriptive_only,aofa-2026-07-28-v1,H9,J4,P3,AR4,K1,PB6,C7,F2_static_image,false,false,false,true,false,false,true,false,false,false,false,1232,123,16,7,2,0,89,false,false,false,false,false,true,false
LI-7459856232657620993,https://www.linkedin.com/posts/supplychainaipro_%F0%9D%90%96%F0%9D%90%A1%F0%9D%90%B2-%F0%9D%90%9A%F0%9D%90%A6-%F0%9D%90%88-%F0%9D%90%A7%F0%9D%90%A8%F0%9D%90%AD-%F0%9D%90%A0%F0%9D%90%9E%F0%9D%90%AD%F0%9D%90%AD%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%A0-%F0%9D%90%AD%F0%9D%90%A1%F0%9D%90%9E-activity-7459856232657620993-inro,54,https://www.linkedin.com/in/supplychainaipro,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,2026-05-12T06:45:23.292Z,77,208,2,235,0.885593220338983,-0.12149755306079957,mature,descriptive_only,aofa-2026-07-28-v1,H2,J3,P6,AR3,K1,PB6,C0,F2_static_image,false,true,true,true,false,false,false,false,false,false,true,928,106,14,5,3,1,86,true,false,false,false,false,true,false
LI-7459888401522028544,https://www.linkedin.com/posts/tom-mills-procurement_how-to-shift-procurement-to-strategic-free-activity-7459888401522028544-dKrm,56,https://www.linkedin.com/in/tom-mills-procurement,Tom Mills,https://www.linkedin.com/in/tom-mills-procurement,2026-05-12T08:53:12.947Z,77,849,5,263,3.2196969696969697,1.1692872463380457,mature,descriptive_only,aofa-2026-07-28-v1,H4,J3,P0,AR2,K1,PB4,C2,F2_static_image,true,true,true,true,false,false,false,false,false,false,true,2960,446,77,24,0,8,52,false,false,true,true,false,true,false
LI-7459932907940536321,https://www.linkedin.com/posts/jaindl_ive-posted-784-times-on-linkedin-i-made-activity-7459932907940536321-tmR7,57,https://www.linkedin.com/in/jaindl,MJ Jaindl,https://www.linkedin.com/in/jaindl,2026-05-12T11:50:04.104Z,77,564,16,284.5,1.978984238178634,0.6825837020503762,mature,quantitative,aofa-2026-07-28-v1,H2,J3,P2,AR0,K3,PB10,C6,F2_static_image,true,true,false,false,true,false,true,false,false,false,false,2295,358,93,29,0,1,34,false,true,false,true,false,false,true
LI-7459573119217782785,https://www.linkedin.com/posts/vandeputnicolas_its-time-we-move-on-from-ssz%CF%83lr-to-activity-7459573119217782785-EH17,59,https://www.linkedin.com/in/vandeputnicolas,Nicolas Vandeput,https://www.linkedin.com/in/vandeputnicolas,2026-05-11T12:00:23.788Z,78,324,23,82,3.9156626506024095,1.364984574533139,mature,quantitative,aofa-2026-07-28-v1,H3,J1,P0,AR0,K3,PB1,C6,F6_link_article,true,true,false,false,false,false,false,false,false,false,true,626,105,15,5,3,1,58,false,false,false,true,false,false,false
LI-7455232999509430273,https://www.linkedin.com/posts/nicolascole_i-just-created-a-claude-skills-pack-to-help-activity-7455232999509430273-6Et5,60,https://www.linkedin.com/in/nicolascole,Nicolas Cole 🚢👻,https://www.linkedin.com/in/nicolascole,2026-04-29T12:34:18.614Z,90,1293,13,145,8.863013698630137,2.181886853352509,mature,quantitative,aofa-2026-07-28-v1,H9,J4,P1,AR1,K4,PB10,C1,F2_static_image,true,true,false,true,false,false,false,true,true,false,false,1418,241,45,22,10,2,82,false,false,false,true,false,true,false
LI-7471426142412046336,https://www.linkedin.com/posts/ruben-hassid_instead-of-another-youtube-rabbit-hole-tonight-activity-7471426142412046336-sG4O,61,https://www.linkedin.com/in/ruben-hassid,Ruben Hassid,https://www.linkedin.com/in/ruben-hassid,2026-06-13T05:00:04.736Z,45,3596,2,1600.5,2.2460193568529503,0.8091594746464104,mature,descriptive_only,aofa-2026-07-28-v1,H3,J3,P0,AR2,K3,PB6,C1,F2_static_image,true,false,false,false,false,false,false,true,false,false,false,825,127,28,10,0,0,47,false,false,true,true,false,true,false
