provenance_id,record_id,source_type,source_reference,collected_at,access_method,read_only,observation_scope,limitations,confidence
PV-00012,LI-7487461866898747392,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7487461866898747392,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00013,LI-7487416662091194368,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7487416662091194368,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00014,LI-7486447276270243841,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7486447276270243841,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00015,LI-7486381678404304896,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7486381678404304896,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00016,LI-7486371904484876288,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7486371904484876288,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00017,LI-7486374672033316864,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7486374672033316864,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00018,LI-7484185211099078656,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7484185211099078656,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00019,LI-7484547615334805505,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7484547615334805505,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00020,LI-7484909992677036033,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7484909992677036033,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00021,LI-7486007650325909504,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7486007650325909504,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00022,LI-7485580111870787585,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7485580111870787585,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00023,LI-7485959394728300544,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7485959394728300544,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00024,LI-7485285821319843840,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7485285821319843840,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00025,LI-7485322229086474240,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7485322229086474240,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00026,LI-7485298802661457920,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7485298802661457920,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00027,LI-7485197149106892800,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7485197149106892800,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00028,LI-7485216088381833216,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7485216088381833216,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00029,LI-7485204766869090306,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7485204766869090306,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00030,LI-7485287503235764224,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7485287503235764224,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00031,LI-7478387311614025728,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7478387311614025728,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00032,LI-7478417298425454592,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7478417298425454592,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00033,LI-7477677362998910978,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7477677362998910978,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00034,LI-7476613576619839488,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7476613576619839488,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00035,LI-7477692498455232514,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7477692498455232514,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00036,LI-7477097767102865408,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7477097767102865408,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00037,LI-7477314999217065988,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7477314999217065988,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00038,LI-7476604807881887744,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7476604807881887744,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00039,LI-7475850315301339136,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7475850315301339136,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00040,LI-7475971141916884992,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7475971141916884992,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00041,LI-7476212725640142850,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7476212725640142850,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00042,LI-7476212718673358848,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7476212718673358848,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00043,LI-7475865420021837824,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7475865420021837824,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00044,LI-7475880562558210066,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7475880562558210066,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00045,LI-7475857935290748929,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7475857935290748929,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00046,LI-7475850301997187072,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7475850301997187072,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00047,LI-7475518181047128064,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7475518181047128064,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00048,LI-7475533103172599810,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7475533103172599810,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00049,LI-7475495488021045248,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7475495488021045248,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00050,LI-7475555841354686464,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7475555841354686464,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00051,LI-7475518122184224768,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7475518122184224768,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00052,TEXT-5c8dd8e1,linkedin_live_saved_collection,LinkedIn saved posts list,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00053,LI-7475136739649519616,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7475136739649519616,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00054,LI-7475124423352778752,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7475124423352778752,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00055,LI-7474405498314924032,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7474405498314924032,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00056,LI-7474126196025217024,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7474126196025217024,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00057,LI-7470080974857363457,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7470080974857363457,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00058,LI-7474597027801194497,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7474597027801194497,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00059,LI-7474627261439254528,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7474627261439254528,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00060,LI-7474787804930224128,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7474787804930224128,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00061,LI-7474781449007734786,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7474781449007734786,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00062,LI-7474649870423728128,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7474649870423728128,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00063,LI-7473705871013818368,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7473705871013818368,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00064,LI-7474038363872800768,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7474038363872800768,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00065,LI-7472588806068682752,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7472588806068682752,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00066,LI-7473691060054044673,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7473691060054044673,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00067,LI-7473626912808996865,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7473626912808996865,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
